1, [2, 3, 4, 5, 6, 7, 1, 1, 1, 1]
2, [8, 9, 1, 1, 1, 1, 1, 1, 1, 1]
1, [6, 7, 1, 1, 1, 1, 1, 1, 1, 1]
1, [10, 11, 12, 13, 7, 1, 1, 1, 1, 1]
1, [2, 3, 10, 7, 1, 1, 1, 1, 1, 1]
3, [14, 15, 16, 17, 18, 1, 1, 1, 1, 1]
3, [19, 16, 20, 1, 1, 1, 1, 1, 1, 1]
2, [21, 22, 23, 24, 1, 1, 1, 1, 1, 1]
4, [25, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1, [26, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1, [27, 7, 1, 1, 1, 1, 1, 1, 1, 1]
3, [28, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3, [17, 18, 1, 1, 1, 1, 1, 1, 1, 1]
4, [25, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3, [29, 30, 1, 1, 1, 1, 1, 1, 1, 1]
2, [21, 22, 23, 24, 1, 1, 1, 1, 1, 1]
4, [25, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1, [2, 3, 31, 32, 13, 33, 1, 1, 1, 1]
4, [34, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3, [35, 16, 28, 19, 17, 18, 1, 1, 1, 1]
5, [15, 36, 2, 1, 1, 1, 1, 1, 1, 1]
2, [21, 22, 23, 24, 1, 1, 1, 1, 1, 1]
1, [37, 38, 39, 40, 41, 3, 42, 16, 31, 32]
3, [14, 15, 16, 28, 1, 1, 1, 1, 1, 1]
2, [21, 22, 23, 24, 1, 1, 1, 1, 1, 1]
1, [43, 44, 38, 39, 40, 45, 46, 3, 42, 16]
6, [47, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1, [48, 7, 1, 1, 1, 1, 1, 1, 1, 1]
1, [37, 38, 39, 40, 3, 42, 16, 31, 32, 13]
5, [15, 36, 42, 16, 49, 50, 51, 1, 1, 1]
7, [15, 52, 53, 54, 1, 1, 1, 1, 1, 1]
3, [14, 15, 16, 28, 1, 1, 1, 1, 1, 1]
2, [21, 22, 55, 1, 1, 1, 1, 1, 1, 1]
1, [41, 3, 1, 1, 1, 1, 1, 1, 1, 1]
1, [56, 7, 1, 1, 1, 1, 1, 1, 1, 1]
3, [28, 1, 1, 1, 1, 1, 1, 1, 1, 1]
3, [17, 18, 1, 1, 1, 1, 1, 1, 1, 1]
3, [17, 18, 1, 1, 1, 1, 1, 1, 1, 1]
3, [17, 18, 1, 1, 1, 1, 1, 1, 1, 1]
2, [21, 22, 23, 24, 1, 1, 1, 1, 1, 1]
4, [57, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1, [38, 39, 58, 7, 1, 1, 1, 1, 1, 1]
7, [59, 60, 61, 7, 1, 1, 1, 1, 1, 1]
7, [53, 54, 1, 1, 1, 1, 1, 1, 1, 1]
3, [14, 15, 16, 17, 18, 1, 1, 1, 1, 1]
2, [21, 22, 1, 1, 1, 1, 1, 1, 1, 1]
8, [23, 24, 1, 1, 1, 1, 1, 1, 1, 1]
1, [37, 38, 39, 40, 3, 42, 16, 62, 32, 13]
1, [63, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1, [63, 1, 1, 1, 1, 1, 1, 1, 1, 1]
1, [37, 38, 39, 40, 3, 42, 16, 62, 1, 1]
1, [63, 7, 1, 1, 1, 1, 1, 1, 1, 1]
1, [63, 7, 1, 1, 1, 1, 1, 1, 1, 1]
7, [59, 60, 64, 7, 1, 1, 1, 1, 1, 1]
7, [59, 60, 64, 7, 1, 1, 1, 1, 1, 1]
1, [64, 7, 1, 1, 1, 1, 1, 1, 1, 1]
1, [40, 3, 42, 16, 62, 4, 5, 64, 7, 1]
3, [65, 43, 66, 16, 17, 18, 1, 1, 1, 1]
